id,logFC,p.adjust
HLA-DMB,3.813477853,4.50E-40
LINC00673,3.871479241,4.50E-40
LOC101929297,3.7938026,4.50E-40
PLCXD1,3.472346965,8.28E-40
USP48,4.003489388,8.28E-40
APOBEC3D,2.706753253,1.51E-39
GFI1B,4.568419894,2.70E-39
SPMIP4,3.658461306,2.76E-39
KDELR1,5.0035241,2.76E-39
WDR35,3.238128988,3.00E-39
SAMD4A,3.205368071,3.13E-39
PAX6,3.683397265,4.47E-39
LOC100310756,2.705283171,5.30E-39
BTG4,3.674400406,9.14E-39
TLR7,3.559366835,1.13E-38
LOC105377276,3.193763565,1.52E-38
LINC00302,4.061235165,2.16E-38
GXYLT1,3.999571718,3.04E-38
TRIM42,4.097419659,3.77E-38
GLUL,3.0922418,5.53E-38
EQTN,3.183112294,6.34E-38
LOC339166,3.095194494,6.77E-38
IL17D,5.009564276,7.42E-38
WNT4,3.938298329,7.73E-38
ANAPC15,3.385903218,7.73E-38
ANKS1B,3.206456141,9.56E-38
BSG,2.978544688,9.60E-38
PALS2,2.9772474,9.74E-38
FBXO9,3.536684741,9.74E-38
NUP160,2.893718253,1.01E-37
AQP12A,3.064547529,1.04E-37
SCGB1A1,3.274043818,1.41E-37
LINC02806,3.039080082,1.47E-37
SNHG6,2.882312835,1.57E-37
RAD51-AS1,3.272065882,1.89E-37
ODAD2,3.7269879,2.15E-37
ZFAND2A,2.871981012,2.15E-37
PAGE4,2.658538776,3.10E-37
LINC01270,2.850931424,3.37E-37
MCRIP1,2.982415912,3.44E-37
SLC7A6OS,3.004131582,3.45E-37
UNC5CL,2.837774476,3.75E-37
CNNM2,2.969570359,5.53E-37
SRSF12,3.584840188,8.15E-37
SLC4A5,3.712847018,8.40E-37
OGFRP1,2.9326402,9.06E-37
CIAPIN1,3.072211876,1.06E-36
LOC100506016,3.086501729,1.15E-36
ZBED4,2.952188829,1.19E-36
MED12,2.748532253,1.35E-36
CST1,4.120748082,1.51E-36
GPRASP2,3.460967412,2.88E-36
P2RY10,2.847448841,2.96E-36
DNAH1,3.325751841,3.07E-36
NXF5,3.126916235,4.22E-36
EIF2B5,2.9771681,5.32E-36
USH1C,2.756591606,5.32E-36
SOX21,2.609753524,7.53E-36
TEPSIN,3.322597347,8.45E-36
FAM170A,3.1892783,9.97E-36
RPRD2,3.316588365,1.00E-35
SUMF1,2.949021059,1.26E-35
PCK2,3.943326159,1.26E-35
RYR2,2.766019841,1.34E-35
