"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"HLA-DMB",3.81347785294117,5.05614315909091,64.112519754946,2.63358082458821e-44,4.49770384916221e-40,90.706137268802
"LINC00673",3.87147924117647,5.92152306818182,63.0720724207758,5.28256237211935e-44,4.49770384916221e-40,90.0459853029142
"LOC101929297",3.7938026,7.05512243181818,62.7127232771672,6.73577852809835e-44,4.49770384916221e-40,89.8151392512036
"PLCXD1",3.47234696470588,5.35259697727273,61.3101888879444,1.76223315221687e-43,8.27587258275478e-40,88.8997940380779
"USP48",4.00348938823529,5.53448579545454,61.0814752826648,2.06566308475309e-43,8.27587258275478e-40,88.7483164075662
"APOBEC3D",2.70675325294118,4.34054311363636,59.9624645534452,4.53225681229833e-43,1.51316947439933e-39,87.9980060104261
"GFI1B",4.56841989411765,5.38856338636364,58.9346139426219,9.44705015731111e-43,2.70347583930366e-39,87.2950476611157
"SPMIP4",3.65846130588235,5.57179763636364,58.7007625532499,1.11847816512368e-42,2.76077259191021e-39,87.1332270555102
"KDELR1",5.0035241,6.56254647727273,58.5579572847454,1.24036308542292e-42,2.76077259191021e-39,87.0340595195427
"WDR35",3.23812898823529,6.51162552272727,58.2988669464854,1.49734809414902e-42,2.99948770219932e-39,86.8534604601394
"SAMD4A",3.20536807058823,4.40455961363636,58.1089547775682,1.71984078852589e-42,3.13198642506823e-39,86.7205215178601
"PAX6",3.68339726470588,5.25541668181818,57.5061802644612,2.67750130261038e-42,4.46964217449092e-39,86.2954017865492
"LOC100310756",2.70528317058823,4.33311718181818,57.1687181599692,3.43728321242033e-42,5.29658902393877e-39,86.0552646562315
"BTG4",3.67440040588235,5.4017065,56.3392228053509,6.39075800335873e-42,9.14426173737729e-39,85.4583607566452
"TLR7",3.55936683529412,5.43767504545454,55.9700694996914,8.44618566597658e-42,1.12795994173895e-38,85.1896336279409
"LOC105377276",3.19376356470588,6.22946920454545,55.4947952206469,1.21264647738846e-41,1.51823338969035e-38,84.8408057071702
"LINC00302",4.06123516470588,6.11061118181818,54.9552239585971,1.83506652428621e-41,2.16235603614714e-38,84.4408394243046
"GXYLT1",3.99957171764706,5.78324343181818,54.4425216186648,2.73029194455644e-41,3.0385115685197e-38,84.0568343445571
"TRIM42",4.09741965882353,5.75525006818182,54.095753657695,3.57945282021037e-41,3.7738736260239e-38,83.794891420463
"GLUL",3.0922418,4.62922731818182,53.544698668592,5.52362596407782e-41,5.53246376562034e-38,83.3748892969655
"EQTN",3.18311229411765,6.60451693181818,53.3118041686007,6.64382942288676e-41,6.33758052377465e-38,83.1959826258087
"LOC339166",3.09519449411765,5.75991095454545,53.169957508415,7.43752391438251e-41,6.77220359331411e-38,83.0866059796671
"IL17D",5.00956427647059,9.62783838636364,53.0000409300437,8.51734341799392e-41,7.41823579779366e-38,82.9551719153938
"WNT4",3.93829832941176,5.73731284090909,52.8943775043341,9.26848591708357e-41,7.7349706068043e-38,82.8732109289148
"ANAPC15",3.38590321764706,5.82221295454545,52.8435956648343,9.65326802965793e-41,7.7349706068043e-38,82.8337580144228
"ANKS1B",3.20645614117647,5.73181622727273,52.5313738691454,1.24065445189647e-40,9.5587653770731e-38,82.5902938014718
"BSG",2.97854468823529,5.91780890909091,52.4798640132973,1.29327226550219e-40,9.59512223057035e-38,82.5499786299418
"PALS2",2.9772474,6.55573490909091,52.3823350921495,1.39924058067577e-40,9.74130019214088e-38,82.4735296705546
"FBXO9",3.53668474117647,6.16071277272727,52.372654600883,1.41023215641017e-40,9.74130019214088e-38,82.4659332226515
"NUP160",2.89371825294117,3.83288886363636,52.2872813678463,1.5110758815674e-40,1.00899573531861e-37,82.398874302245
"AQP12A",3.06454752941176,4.38674495454546,52.207105148014,1.61249825846482e-40,1.0419859714054e-37,82.3357908695761
"SCGB1A1",3.27404381764706,6.22237759090909,51.7991847332459,2.24747535320806e-40,1.40691957110825e-37,82.0132243528075
"LINC02806",3.03908008235294,5.20089461363636,51.7101066855728,2.41729416864468e-40,1.46737081170577e-37,81.9424245386169
"SNHG6",2.88231283529412,5.02295204545455,51.5884189291019,2.67073201114848e-40,1.57353246021548e-37,81.8454958853104
"RAD51-AS1",3.27206588235294,6.2072835,51.332373300155,3.29658669621589e-40,1.88677784853133e-37,81.6407484495002
"ODAD2",3.7269879,5.87303634090909,51.1278348605689,3.90322315831484e-40,2.14912687416432e-37,81.4764062316443
"ZFAND2A",2.8719810117647,4.30961656818182,51.107479566491,3.96953346366214e-40,2.14912687416432e-37,81.4600129448437
"PAGE4",2.65853877647059,4.0981375,50.6355057835473,5.87721782249545e-40,3.09822177421655e-37,81.0779476598457
"LINC01270",2.85093142352941,5.02925161363636,50.5032910747087,6.5643385834697e-40,3.37171360266834e-37,80.9702410659644
"MCRIP1",2.98241591176471,4.94620177272727,50.4484182014673,6.87315334136567e-40,3.44207519335593e-37,80.9254519220566
"SLC7A6OS",3.00413158235294,4.28151722727273,50.414568323106,7.0710274638364e-40,3.45480054037977e-37,80.8977967115602
"UNC5CL",2.83777447647059,4.81559584090909,50.2879218267178,7.86451944702796e-40,3.75100127530629e-37,80.7941522146922
"CNNM2",2.96957035882353,6.14029047727273,49.8000366631756,1.18759464466326e-39,5.53253393532431e-37,80.392279261063
"SRSF12",3.58484018823529,6.42322906818182,49.3189726054582,1.78990227914196e-39,8.14893692176632e-37,79.9919293551047
"SLC4A5",3.71284701764706,6.83496165909091,49.2575114620661,1.88674059854316e-39,8.39893059333703e-37,79.94048362266
"OGFRP1",2.9326402,4.90799740909091,49.1432363800202,2.08128651237458e-39,9.06355030780164e-37,79.8446501116073
"CIAPIN1",3.07221187647059,5.601238,48.9316554655902,2.49744365166244e-39,1.06444236659792e-36,79.6665924286891
"LOC100506016",3.08650172941176,6.31808554545454,48.8208060992364,2.74854253990706e-39,1.14705841998788e-36,79.5729823151137
"ZBED4",2.95218882941176,5.09073,48.7570893796409,2.90442065847662e-39,1.18737458429803e-36,79.5190735105013
"MED12",2.74853225294117,4.37432222727273,48.585069985485,3.3720101821773e-39,1.35096215938751e-36,79.3731621953117
"CST1",4.12074808235294,5.88034895454546,48.4332572333953,3.84846185209679e-39,1.51161544747457e-36,79.2439388745546
"GPRASP2",3.4609674117647,5.35155843181818,47.6793041784218,7.46349935375562e-39,2.87516959720063e-36,78.595810679566
"P2RY10",2.84744884117647,4.04483811363636,47.6265028213358,7.82081038375427e-39,2.95597120013897e-36,78.5500188477464
"DNAH1",3.32575184117647,5.05453370454545,47.5643896035936,8.26362260549502e-39,3.06549792654215e-36,78.4960832795756
"NXF5",3.12691623529412,4.69318420454545,47.1861089416867,1.15742459214871e-38,4.21555080544055e-36,78.1660076234266
"EIF2B5",2.9771681,4.82710331818182,46.8897021988365,1.50986084447884e-38,5.32494576542008e-36,77.905435588669
"USH1C",2.75659160588235,5.92888418181818,46.88578898041,1.51518524674992e-38,5.32494576542008e-36,77.9019839843136
