"source","target","relation","logFC","p.adjust"
"ATG2B","GO:0006091","enriched_in_go",2.495844,8.41408233956214e-05
"MT-ND3","GO:0006091","enriched_in_go",1.65560084117647,8.41408233956214e-05
"ADHFE1","GO:0006091","enriched_in_go",3.10791181764706,8.41408233956214e-05
"ADSL","GO:0006091","enriched_in_go",2.51313775882353,8.41408233956214e-05
"RPIA","GO:0006091","enriched_in_go",2.79406591176471,8.41408233956214e-05
"PPP2CA","GO:0006091","enriched_in_go",3.26895224117647,8.41408233956214e-05
"EPM2A","GO:0006091","enriched_in_go",3.59868312941176,8.41408233956214e-05
"UGP2","GO:0006091","enriched_in_go",1.88535156470588,8.41408233956214e-05
"IL6ST","GO:0006091","enriched_in_go",2.69523953529412,8.41408233956214e-05
"AVP","GO:0006091","enriched_in_go",2.1106562,8.41408233956214e-05
"HMGCS2","GO:0006091","enriched_in_go",1.49836598823529,8.41408233956214e-05
"PGLS","GO:0006091","enriched_in_go",1.6292792,8.41408233956214e-05
"ATP5PD","GO:0006091","enriched_in_go",2.4861867117647,8.41408233956214e-05
"SLC4A1","GO:0006091","enriched_in_go",1.72313602941176,8.41408233956214e-05
"ATP5F1D","GO:0006091","enriched_in_go",2.12246204117647,8.41408233956214e-05
"BCL2L13","GO:0006091","enriched_in_go",1.86819820588235,8.41408233956214e-05
"PER2","GO:0006091","enriched_in_go",2.31018597058823,8.41408233956214e-05
"VPS54","GO:0006091","enriched_in_go",2.53001157058823,8.41408233956214e-05
"MRAP2","GO:0006091","enriched_in_go",2.20819467058823,8.41408233956214e-05
"INSR","GO:0006091","enriched_in_go",5.53297065882353,8.41408233956214e-05
"RBPJ","GO:0006091","enriched_in_go",2.56303628235294,8.41408233956214e-05
"MDH1B","GO:0006091","enriched_in_go",1.51902390588235,8.41408233956214e-05
"MACROH2A1","GO:0006091","enriched_in_go",1.85866284117647,8.41408233956214e-05
"COX8A","GO:0006091","enriched_in_go",1.95273638823529,8.41408233956214e-05
"DGUOK","GO:0006091","enriched_in_go",2.11966607058823,8.41408233956214e-05
"PDHA1","GO:0006091","enriched_in_go",1.83550994117647,8.41408233956214e-05
"PSEN1","GO:0006091","enriched_in_go",1.44434591764706,8.41408233956214e-05
"HDAC4","GO:0006091","enriched_in_go",1.53025277058824,8.41408233956214e-05
"NDUFA12","GO:0006091","enriched_in_go",1.97627718235294,8.41408233956214e-05
"PGK2","GO:0006091","enriched_in_go",2.73019628235294,8.41408233956214e-05
"NDUFA7","GO:0006091","enriched_in_go",1.70657284705882,8.41408233956214e-05
"ADGRF5","GO:0006091","enriched_in_go",1.67193523529412,8.41408233956214e-05
"ATP5MG","GO:0006091","enriched_in_go",1.53976472941176,8.41408233956214e-05
"PPP1R3D","GO:0006091","enriched_in_go",2.28122677058823,8.41408233956214e-05
"ME3","GO:0006091","enriched_in_go",2.24594606470588,8.41408233956214e-05
"PHKG2","GO:0006091","enriched_in_go",1.91882188823529,8.41408233956214e-05
"UQCRC1","GO:0006091","enriched_in_go",2.46324842941176,8.41408233956214e-05
"UQCC3","GO:0006091","enriched_in_go",1.5785748,8.41408233956214e-05
"AKT2","GO:0006091","enriched_in_go",1.57635791764706,8.41408233956214e-05
"CHCHD5","GO:0006091","enriched_in_go",1.39687669411765,8.41408233956214e-05
"PPARA","GO:0006091","enriched_in_go",2.12404366470588,8.41408233956214e-05
"STK40","GO:0006091","enriched_in_go",1.81175880588235,8.41408233956214e-05
