"source","target","relation","logFC","p.adjust"
"6262","hsa04261","part_of_kegg",2.76601984117647,2.79824063938462e-07
"7168","hsa04261","part_of_kegg",1.79866222941176,2.79824063938462e-07
"70","hsa04261","part_of_kegg",2.51817920588235,2.79824063938462e-07
"6546","hsa04261","part_of_kegg",1.89247548235294,2.79824063938462e-07
"146850","hsa04261","part_of_kegg",1.96479522941176,2.79824063938462e-07
"775","hsa04261","part_of_kegg",1.9487472,2.79824063938462e-07
"5515","hsa04261","part_of_kegg",3.26895224117647,2.79824063938462e-07
"5578","hsa04261","part_of_kegg",1.61417398235294,2.79824063938462e-07
"801","hsa04261","part_of_kegg",2.76474484705882,2.79824063938462e-07
"7137","hsa04261","part_of_kegg",2.22812252352941,2.79824063938462e-07
"64764","hsa04261","part_of_kegg",1.75658041176471,2.79824063938462e-07
"487","hsa04261","part_of_kegg",2.11434026470588,2.79824063938462e-07
"5350","hsa04261","part_of_kegg",1.97749625882353,2.79824063938462e-07
"84699","hsa04261","part_of_kegg",2.76599529411765,2.79824063938462e-07
"6300","hsa04261","part_of_kegg",2.50235042941176,2.79824063938462e-07
"817","hsa04261","part_of_kegg",1.95187264117647,2.79824063938462e-07
"1386","hsa04261","part_of_kegg",1.92797767647059,2.79824063938462e-07
"3776","hsa04261","part_of_kegg",1.76006568823529,2.79824063938462e-07
"163688","hsa04261","part_of_kegg",2.12743454117647,2.79824063938462e-07
"596","hsa04261","part_of_kegg",6.17637621764706,2.79824063938462e-07
"9254","hsa04261","part_of_kegg",1.53463652352941,2.79824063938462e-07
"196883","hsa04261","part_of_kegg",1.31512148235294,2.79824063938462e-07
"111","hsa04261","part_of_kegg",2.25137942352941,2.79824063938462e-07
"5522","hsa04261","part_of_kegg",2.13521077058823,2.79824063938462e-07
"59283","hsa04261","part_of_kegg",1.60388927058824,2.79824063938462e-07
"5520","hsa04261","part_of_kegg",2.19251982352941,2.79824063938462e-07
"208","hsa04261","part_of_kegg",1.57635791764706,2.79824063938462e-07
"93589","hsa04261","part_of_kegg",1.64774192352941,2.79824063938462e-07
